Id,DateTime,Date,Demand
1,1/04/2018 0:30,1/04/2018,5667.57
2,1/04/2018 1:00,1/04/2018,5510.28
3,1/04/2018 1:30,1/04/2018,5425.29
4,1/04/2018 2:00,1/04/2018,5386.56
5,1/04/2018 2:30,1/04/2018,5356.05
6,1/04/2018 3:00,1/04/2018,5340.31
7,1/04/2018 3:30,1/04/2018,5303.91
8,1/04/2018 4:00,1/04/2018,5256.74
9,1/04/2018 4:30,1/04/2018,5248.52
10,1/04/2018 5:00,1/04/2018,5289.53
11,1/04/2018 5:30,1/04/2018,5384.68
12,1/04/2018 6:00,1/04/2018,5376.22
13,1/04/2018 6:30,1/04/2018,5453.8
14,1/04/2018 7:00,1/04/2018,5491.82
15,1/04/2018 7:30,1/04/2018,5596.43
16,1/04/2018 8:00,1/04/2018,5653.11
17,1/04/2018 8:30,1/04/2018,5678.77
18,1/04/2018 9:00,1/04/2018,5729.6
19,1/04/2018 9:30,1/04/2018,5798.85
20,1/04/2018 10:00,1/04/2018,5807.35
21,1/04/2018 10:30,1/04/2018,5806.34
22,1/04/2018 11:00,1/04/2018,5772.37
23,1/04/2018 11:30,1/04/2018,5749
24,1/04/2018 12:00,1/04/2018,5753.06
25,1/04/2018 12:30,1/04/2018,5758.54
26,1/04/2018 13:00,1/04/2018,5777.07
27,1/04/2018 13:30,1/04/2018,5873.65
28,1/04/2018 14:00,1/04/2018,5946.93
29,1/04/2018 14:30,1/04/2018,6026.71
30,1/04/2018 15:00,1/04/2018,6149.94
31,1/04/2018 15:30,1/04/2018,6292.17
32,1/04/2018 16:00,1/04/2018,6439.06
33,1/04/2018 16:30,1/04/2018,6583.79
34,1/04/2018 17:00,1/04/2018,6729.78
35,1/04/2018 17:30,1/04/2018,6802.71
36,1/04/2018 18:00,1/04/2018,6851.31
37,1/04/2018 18:30,1/04/2018,7032.53
38,1/04/2018 19:00,1/04/2018,7089.48
39,1/04/2018 19:30,1/04/2018,6937.64
40,1/04/2018 20:00,1/04/2018,6839.84
41,1/04/2018 20:30,1/04/2018,6685.91
42,1/04/2018 21:00,1/04/2018,6539.72
43,1/04/2018 21:30,1/04/2018,6472.7
44,1/04/2018 22:00,1/04/2018,6376.76
45,1/04/2018 22:30,1/04/2018,6248.3
46,1/04/2018 23:00,1/04/2018,6225.75
47,1/04/2018 23:30,1/04/2018,6052.47
48,2/04/2018 0:00,2/04/2018,5752.16
49,2/04/2018 0:30,2/04/2018,5585.92
50,2/04/2018 1:00,2/04/2018,5487.39
51,2/04/2018 1:30,2/04/2018,5404.98
52,2/04/2018 2:00,2/04/2018,5368.06
53,2/04/2018 2:30,2/04/2018,5345.31
54,2/04/2018 3:00,2/04/2018,5301.75
55,2/04/2018 3:30,2/04/2018,5298.83
56,2/04/2018 4:00,2/04/2018,5266.84
57,2/04/2018 4:30,2/04/2018,5282.43
58,2/04/2018 5:00,2/04/2018,5309.33
59,2/04/2018 5:30,2/04/2018,5383.65
60,2/04/2018 6:00,2/04/2018,5452.92
61,2/04/2018 6:30,2/04/2018,5552.66
62,2/04/2018 7:00,2/04/2018,5622.98
63,2/04/2018 7:30,2/04/2018,5743.13
64,2/04/2018 8:00,2/04/2018,5753.85
65,2/04/2018 8:30,2/04/2018,5851.17
66,2/04/2018 9:00,2/04/2018,5968.61
67,2/04/2018 9:30,2/04/2018,6036.34
68,2/04/2018 10:00,2/04/2018,6071.45
69,2/04/2018 10:30,2/04/2018,6038.46
70,2/04/2018 11:00,2/04/2018,6001.69
71,2/04/2018 11:30,2/04/2018,6028.92
72,2/04/2018 12:00,2/04/2018,6010.88
73,2/04/2018 12:30,2/04/2018,6005.61
74,2/04/2018 13:00,2/04/2018,6019.65
75,2/04/2018 13:30,2/04/2018,6027.32
76,2/04/2018 14:00,2/04/2018,6094.8
77,2/04/2018 14:30,2/04/2018,6192.32
78,2/04/2018 15:00,2/04/2018,6320.38
79,2/04/2018 15:30,2/04/2018,6484.59
80,2/04/2018 16:00,2/04/2018,6603.84
81,2/04/2018 16:30,2/04/2018,6804.67
82,2/04/2018 17:00,2/04/2018,6988.41
83,2/04/2018 17:30,2/04/2018,7127.87
84,2/04/2018 18:00,2/04/2018,7227.83
85,2/04/2018 18:30,2/04/2018,7374.94
86,2/04/2018 19:00,2/04/2018,7372.96
87,2/04/2018 19:30,2/04/2018,7201.88
88,2/04/2018 20:00,2/04/2018,7036.45
89,2/04/2018 20:30,2/04/2018,6894.84
90,2/04/2018 21:00,2/04/2018,6708.79
91,2/04/2018 21:30,2/04/2018,6514.35
92,2/04/2018 22:00,2/04/2018,6344.51
93,2/04/2018 22:30,2/04/2018,6223.87
94,2/04/2018 23:00,2/04/2018,6184.2
95,2/04/2018 23:30,2/04/2018,6008.7
96,3/04/2018 0:00,3/04/2018,5734
97,3/04/2018 0:30,3/04/2018,5586.37
98,3/04/2018 1:00,3/04/2018,5465.43
99,3/04/2018 1:30,3/04/2018,5360.4
100,3/04/2018 2:00,3/04/2018,5296.42
101,3/04/2018 2:30,3/04/2018,5281.21
102,3/04/2018 3:00,3/04/2018,5281.82
103,3/04/2018 3:30,3/04/2018,5263.49
104,3/04/2018 4:00,3/04/2018,5271.33
105,3/04/2018 4:30,3/04/2018,5320.26
106,3/04/2018 5:00,3/04/2018,5433.37
107,3/04/2018 5:30,3/04/2018,5604.82
108,3/04/2018 6:00,3/04/2018,5798.09
109,3/04/2018 6:30,3/04/2018,6062.14
110,3/04/2018 7:00,3/04/2018,6327.65
111,3/04/2018 7:30,3/04/2018,6565.33
112,3/04/2018 8:00,3/04/2018,6642.76
113,3/04/2018 8:30,3/04/2018,6714.61
114,3/04/2018 9:00,3/04/2018,6787.13
115,3/04/2018 9:30,3/04/2018,6743.56
116,3/04/2018 10:00,3/04/2018,6662.7
117,3/04/2018 10:30,3/04/2018,6591.48
118,3/04/2018 11:00,3/04/2018,6591.15
119,3/04/2018 11:30,3/04/2018,6544.33
