DateTime,Date,Demand,Price,MaxTemp,MinTemp,Rainfall
1/01/2015 2:30,1/01/2015,5562.55,29.95,31.3,25.2,12.2
1/01/2015 5:30,1/01/2015,5257.01,23.31,31.3,25.2,12.2
1/01/2015 8:30,1/01/2015,5937.4,28.2,31.3,25.2,12.2
1/01/2015 11:30,1/01/2015,6465.58,37.78,31.3,25.2,12.2
1/01/2015 14:30,1/01/2015,6780.05,39.93533,31.3,25.2,12.2
1/01/2015 17:30,1/01/2015,7199.16,76.97277,31.3,25.2,12.2
1/01/2015 20:30,1/01/2015,7156.44,59.21,31.3,25.2,12.2
1/01/2015 23:30,1/01/2015,6152.58,38.03,31.3,25.2,12.2
2/01/2015 2:30,2/01/2015,5279.48,26.67,30.5,24.8,0.2
2/01/2015 5:30,2/01/2015,5327.24,26.3,30.5,24.8,0.2
2/01/2015 8:30,2/01/2015,6354.65,63.87909,30.5,24.8,0.2
2/01/2015 11:30,2/01/2015,6664.2,71.46305,30.5,24.8,0.2
2/01/2015 14:30,2/01/2015,7038.27,86.80756,30.5,24.8,0.2
2/01/2015 17:30,2/01/2015,7273.14,66.21,30.5,24.8,0.2
2/01/2015 20:30,2/01/2015,7037.59,53.17,30.5,24.8,0.2
2/01/2015 23:30,2/01/2015,6110.91,48.87,30.5,24.8,0.2
3/01/2015 2:30,3/01/2015,5181.53,29.08,28.9,24.6,1.2
3/01/2015 5:30,3/01/2015,5179.07,21.57,28.9,24.6,1.2
3/01/2015 8:30,3/01/2015,5900.12,37.51,28.9,24.6,1.2
3/01/2015 11:30,3/01/2015,6135.89,37.54,28.9,24.6,1.2
3/01/2015 14:30,3/01/2015,6249.04,39.02,28.9,24.6,1.2
3/01/2015 17:30,3/01/2015,6567.84,37.19,28.9,24.6,1.2
3/01/2015 20:30,3/01/2015,6604.95,49.94,28.9,24.6,1.2
3/01/2015 23:30,3/01/2015,5836.7,31.05,28.9,24.6,1.2
4/01/2015 2:30,4/01/2015,5026.72,21,30.2,21.1,16.8
4/01/2015 5:30,4/01/2015,4946.8,17.9,30.2,21.1,16.8
4/01/2015 8:30,4/01/2015,5431.94,26.27,30.2,21.1,16.8
4/01/2015 11:30,4/01/2015,5709.26,33.52,30.2,21.1,16.8
4/01/2015 14:30,4/01/2015,6010.48,36.52,30.2,21.1,16.8
4/01/2015 17:30,4/01/2015,6540.32,44.5,30.2,21.1,16.8
4/01/2015 20:30,4/01/2015,6575.96,39.2,30.2,21.1,16.8
4/01/2015 23:30,4/01/2015,5771.46,30.95,30.2,21.1,16.8
5/01/2015 2:30,5/01/2015,4990.93,22.65,28.1,21.8,0.01
5/01/2015 5:30,5/01/2015,5117.84,24.52,28.1,21.8,0.01
5/01/2015 8:30,5/01/2015,6541.23,42.16,28.1,21.8,0.01
5/01/2015 11:30,5/01/2015,6634.99,44.72,28.1,21.8,0.01
5/01/2015 14:30,5/01/2015,6830.22,46.29,28.1,21.8,0.01
5/01/2015 17:30,5/01/2015,6912.49,50.33,28.1,21.8,0.01
5/01/2015 20:30,5/01/2015,6823.56,36.27,28.1,21.8,0.01
5/01/2015 23:30,5/01/2015,5887.74,30.03,28.1,21.8,0.01
6/01/2015 2:30,6/01/2015,5025.35,20.03,29.5,21.5,21.6
6/01/2015 5:30,6/01/2015,5140.64,22.39,29.5,21.5,21.6
6/01/2015 8:30,6/01/2015,6426.07,35.88,29.5,21.5,21.6
6/01/2015 11:30,6/01/2015,6465.91,55.73,29.5,21.5,21.6
6/01/2015 14:30,6/01/2015,6591.34,49.46,29.5,21.5,21.6
6/01/2015 17:30,6/01/2015,6909.38,48.14,29.5,21.5,21.6
6/01/2015 20:30,6/01/2015,6672.55,42.87,29.5,21.5,21.6
6/01/2015 23:30,6/01/2015,5758.79,83.83,29.5,21.5,21.6
7/01/2015 2:30,7/01/2015,4878.87,33.37,27.1,20.6,0.01
7/01/2015 5:30,7/01/2015,4991.36,40.44,27.1,20.6,0.01
7/01/2015 8:30,7/01/2015,6207.3,95.73,27.1,20.6,0.01
7/01/2015 11:30,7/01/2015,6338.68,50.47,27.1,20.6,0.01
7/01/2015 14:30,7/01/2015,6420.04,48.16,27.1,20.6,0.01
7/01/2015 17:30,7/01/2015,6606.73,59.56,27.1,20.6,0.01
7/01/2015 20:30,7/01/2015,6590.12,46.17,27.1,20.6,0.01
7/01/2015 23:30,7/01/2015,5619.96,55.23508,27.1,20.6,0.01
8/01/2015 2:30,8/01/2015,4869.72,27.36,28.4,19.8,1.8
8/01/2015 5:30,8/01/2015,5070.85,32.6,28.4,19.8,1.8
8/01/2015 8:30,8/01/2015,6268.17,59.22,28.4,19.8,1.8
8/01/2015 11:30,8/01/2015,6472.02,64.45,28.4,19.8,1.8
8/01/2015 14:30,8/01/2015,6717.81,54.92963,28.4,19.8,1.8
8/01/2015 17:30,8/01/2015,6865.67,53.43,28.4,19.8,1.8
8/01/2015 20:30,8/01/2015,6886.86,58.32,28.4,19.8,1.8
8/01/2015 23:30,8/01/2015,5873.88,35.63,28.4,19.8,1.8
9/01/2015 2:30,9/01/2015,5055.84,31.31,29.5,20.8,3.6
9/01/2015 5:30,9/01/2015,5186.56,33.59,29.5,20.8,3.6
9/01/2015 8:30,9/01/2015,6370.79,49.53,29.5,20.8,3.6
9/01/2015 11:30,9/01/2015,6670.36,58.64585,29.5,20.8,3.6
9/01/2015 14:30,9/01/2015,6875.38,58.1,29.5,20.8,3.6
9/01/2015 17:30,9/01/2015,7163.13,39.31,29.5,20.8,3.6
9/01/2015 20:30,9/01/2015,6937.45,38.96,29.5,20.8,3.6
9/01/2015 23:30,9/01/2015,5929.96,32.03,29.5,20.8,3.6
10/01/2015 2:30,10/01/2015,5086.39,25.72,30.2,22.1,0.01
10/01/2015 5:30,10/01/2015,5046.45,20.95,30.2,22.1,0.01
10/01/2015 8:30,10/01/2015,5795.45,31.07,30.2,22.1,0.01
10/01/2015 11:30,10/01/2015,6026.97,29.56,30.2,22.1,0.01
10/01/2015 14:30,10/01/2015,6337.18,38.2,30.2,22.1,0.01
10/01/2015 17:30,10/01/2015,6795.04,75.16,30.2,22.1,0.01
10/01/2015 20:30,10/01/2015,6817.7,34.62,30.2,22.1,0.01
10/01/2015 23:30,10/01/2015,5912.36,26.04,30.2,22.1,0.01
11/01/2015 2:30,11/01/2015,5132.87,22.78,28.2,23.4,0.01
11/01/2015 5:30,11/01/2015,5059,19.91,28.2,23.4,0.01
11/01/2015 8:30,11/01/2015,5554.7,29.2,28.2,23.4,0.01
11/01/2015 11:30,11/01/2015,6077.16,30.3,28.2,23.4,0.01
11/01/2015 14:30,11/01/2015,6445.78,31.36,28.2,23.4,0.01
11/01/2015 17:30,11/01/2015,6901.86,32.08,28.2,23.4,0.01
11/01/2015 20:30,11/01/2015,7009.2,44.37,28.2,23.4,0.01
11/01/2015 23:30,11/01/2015,5972.02,32.6,28.2,23.4,0.01
12/01/2015 2:30,12/01/2015,5208.97,19.4,30.4,22.5,14.6
12/01/2015 5:30,12/01/2015,5400.52,30.89,30.4,22.5,14.6
12/01/2015 8:30,12/01/2015,6805.8,69.63689,30.4,22.5,14.6
12/01/2015 11:30,12/01/2015,7320.85,69.53492,30.4,22.5,14.6
12/01/2015 14:30,12/01/2015,7626.7,71.20206,30.4,22.5,14.6
12/01/2015 17:30,12/01/2015,7469.35,71.94289,30.4,22.5,14.6
12/01/2015 20:30,12/01/2015,7295.59,90.33,30.4,22.5,14.6
12/01/2015 23:30,12/01/2015,6029.86,72.5032,30.4,22.5,14.6
13/01/2015 2:30,13/01/2015,5256.63,26.67,28.4,22.6,38.6
13/01/2015 5:30,13/01/2015,5420.76,37,28.4,22.6,38.6
13/01/2015 8:30,13/01/2015,6747.18,40.79,28.4,22.6,38.6
13/01/2015 11:30,13/01/2015,7012.43,39.14,28.4,22.6,38.6
13/01/2015 14:30,13/01/2015,7254.6,51.65,28.4,22.6,38.6
13/01/2015 17:30,13/01/2015,7395.05,38.94,28.4,22.6,38.6
13/01/2015 20:30,13/01/2015,7346.62,80.22,28.4,22.6,38.6
13/01/2015 23:30,13/01/2015,6206.26,34.22,28.4,22.6,38.6
14/01/2015 2:30,14/01/2015,5317.69,22.37,30.3,24.5,0.2
14/01/2015 5:30,14/01/2015,5514.22,27.24,30.3,24.5,0.2
14/01/2015 8:30,14/01/2015,6925.95,44,30.3,24.5,0.2
14/01/2015 11:30,14/01/2015,7166.85,39.22,30.3,24.5,0.2
14/01/2015 14:30,14/01/2015,7591.17,73.50846,30.3,24.5,0.2
14/01/2015 17:30,14/01/2015,7705.2,74.8754,30.3,24.5,0.2
14/01/2015 20:30,14/01/2015,7464.02,88.16,30.3,24.5,0.2
14/01/2015 23:30,14/01/2015,6376.13,32.23,30.3,24.5,0.2
15/01/2015 2:30,15/01/2015,5426.35,18.01,36,24.4,0.01
15/01/2015 5:30,15/01/2015,5592.17,23.19,36,24.4,0.01
15/01/2015 8:30,15/01/2015,7085.32,44.66,36,24.4,0.01
15/01/2015 11:30,15/01/2015,7572.79,40.25,36,24.4,0.01
15/01/2015 14:30,15/01/2015,8291.89,60.09,36,24.4,0.01
15/01/2015 17:30,15/01/2015,8496.97,131.5611,36,24.4,0.01
15/01/2015 20:30,15/01/2015,8237.48,162.6848,36,24.4,0.01
15/01/2015 23:30,15/01/2015,6738.21,33.28,36,24.4,0.01
16/01/2015 2:30,16/01/2015,5608.79,20.32,32.5,23.1,0.01
16/01/2015 5:30,16/01/2015,5684.05,21.97,32.5,23.1,0.01
16/01/2015 8:30,16/01/2015,7107.89,29.78,32.5,23.1,0.01
16/01/2015 11:30,16/01/2015,7616.9,31.12,32.5,23.1,0.01
16/01/2015 14:30,16/01/2015,8237.43,54.77,32.5,23.1,0.01
16/01/2015 17:30,16/01/2015,8243.9,180.5882,32.5,23.1,0.01
16/01/2015 20:30,16/01/2015,7981.74,33.77,32.5,23.1,0.01
16/01/2015 23:30,16/01/2015,6720.57,24.33,32.5,23.1,0.01
17/01/2015 2:30,17/01/2015,5618.47,17.89,35.3,24,0.01
17/01/2015 5:30,17/01/2015,5420.93,16.58,35.3,24,0.01
17/01/2015 8:30,17/01/2015,6354.57,22.22,35.3,24,0.01
17/01/2015 11:30,17/01/2015,7257.64,27.85,35.3,24,0.01
17/01/2015 14:30,17/01/2015,7798.79,36.28,35.3,24,0.01
17/01/2015 17:30,17/01/2015,8069.12,36.07,35.3,24,0.01
17/01/2015 20:30,17/01/2015,7834.33,37.3,35.3,24,0.01
17/01/2015 23:30,17/01/2015,6664.1,30.53,35.3,24,0.01
18/01/2015 2:30,18/01/2015,5734.56,19.06,36.7,25.9,0.01
18/01/2015 5:30,18/01/2015,5511.32,17.9,36.7,25.9,0.01
18/01/2015 8:30,18/01/2015,6297.82,27.35,36.7,25.9,0.01
18/01/2015 11:30,18/01/2015,7198.25,33.61,36.7,25.9,0.01
18/01/2015 14:30,18/01/2015,7785.04,37.46,36.7,25.9,0.01
18/01/2015 17:30,18/01/2015,8203.67,180.4027,36.7,25.9,0.01
18/01/2015 20:30,18/01/2015,7990.63,185.3423,36.7,25.9,0.01
18/01/2015 23:30,18/01/2015,6675.77,41.57,36.7,25.9,0.01
19/01/2015 2:30,19/01/2015,5711.47,22.89,31.8,26.5,0.01
19/01/2015 5:30,19/01/2015,5882.03,27.57,31.8,26.5,0.01
19/01/2015 8:30,19/01/2015,7498.27,187.6383,31.8,26.5,0.01
19/01/2015 11:30,19/01/2015,7913.33,188.2521,31.8,26.5,0.01
19/01/2015 14:30,19/01/2015,8260.74,189.1113,31.8,26.5,0.01
19/01/2015 17:30,19/01/2015,8080.13,34.91,31.8,26.5,0.01
19/01/2015 20:30,19/01/2015,7548.46,31.13,31.8,26.5,0.01
19/01/2015 23:30,19/01/2015,6253.09,28.6,31.8,26.5,0.01
20/01/2015 2:30,20/01/2015,5308.65,19.5,29.2,20.6,35.8
20/01/2015 5:30,20/01/2015,5447.33,24.91,29.2,20.6,35.8
20/01/2015 8:30,20/01/2015,6830.73,30.96,29.2,20.6,35.8
20/01/2015 11:30,20/01/2015,6990.68,29.97,29.2,20.6,35.8
20/01/2015 14:30,20/01/2015,7236.86,181.9444,29.2,20.6,35.8
20/01/2015 17:30,20/01/2015,7368.45,30.5,29.2,20.6,35.8
20/01/2015 20:30,20/01/2015,7095.31,28.35,29.2,20.6,35.8
20/01/2015 23:30,20/01/2015,5996.77,37.4,29.2,20.6,35.8
21/01/2015 2:30,21/01/2015,5135.29,19.94,30,21.3,0.2
21/01/2015 5:30,21/01/2015,5338.4,25.8,30,21.3,0.2
21/01/2015 8:30,21/01/2015,6709.97,35.62,30,21.3,0.2
21/01/2015 11:30,21/01/2015,6959.03,37.22,30,21.3,0.2
21/01/2015 14:30,21/01/2015,7431.97,85.9,30,21.3,0.2
21/01/2015 17:30,21/01/2015,7357.03,36.96,30,21.3,0.2
21/01/2015 20:30,21/01/2015,7104.9,31.91,30,21.3,0.2
21/01/2015 23:30,21/01/2015,6029.44,30.92,30,21.3,0.2
22/01/2015 2:30,22/01/2015,5100.32,20.69,28.6,23.2,1
22/01/2015 5:30,22/01/2015,5405.49,27.14,28.6,23.2,1
22/01/2015 8:30,22/01/2015,6777.47,41.53,28.6,23.2,1
22/01/2015 11:30,22/01/2015,7157.58,45.07,28.6,23.2,1
22/01/2015 14:30,22/01/2015,7295.46,52.94,28.6,23.2,1
22/01/2015 17:30,22/01/2015,7112.23,37.89,28.6,23.2,1
22/01/2015 20:30,22/01/2015,6941.05,36.95,28.6,23.2,1
22/01/2015 23:30,22/01/2015,5913.68,31.42,28.6,23.2,1
23/01/2015 2:30,23/01/2015,5113.27,25.48,24.8,22,100.4
23/01/2015 5:30,23/01/2015,5381.97,27.06,24.8,22,100.4
23/01/2015 8:30,23/01/2015,6854.48,45.16,24.8,22,100.4
23/01/2015 11:30,23/01/2015,6938.13,48.85,24.8,22,100.4
23/01/2015 14:30,23/01/2015,7066.67,56.31,24.8,22,100.4
23/01/2015 17:30,23/01/2015,7103.13,40.6,24.8,22,100.4
23/01/2015 20:30,23/01/2015,6722.65,37.51,24.8,22,100.4
23/01/2015 23:30,23/01/2015,5836.49,30.59,24.8,22,100.4
24/01/2015 2:30,24/01/2015,5024.49,24.39,30.8,20,65.2
24/01/2015 5:30,24/01/2015,5036.34,20.39,30.8,20,65.2
24/01/2015 8:30,24/01/2015,5761.26,32.6,30.8,20,65.2
24/01/2015 11:30,24/01/2015,6073.88,32.03,30.8,20,65.2
24/01/2015 14:30,24/01/2015,6501.28,33.49,30.8,20,65.2
24/01/2015 17:30,24/01/2015,6866.26,52.64,30.8,20,65.2
24/01/2015 20:30,24/01/2015,6804.85,44.8,30.8,20,65.2
24/01/2015 23:30,24/01/2015,5997.16,29.3,30.8,20,65.2
