DateTime,Date,Demand,Price
1/01/2015 0:00,1/01/2015,6272.46,47.1
1/01/2015 0:30,1/01/2015,6062.18,45.85
1/01/2015 1:00,1/01/2015,5953.53,44.65
1/01/2015 1:30,1/01/2015,5784.95,34.24
1/01/2015 2:00,1/01/2015,5640.2,31.91
1/01/2015 2:30,1/01/2015,5562.55,29.95
1/01/2015 3:00,1/01/2015,5466.28,28.5
1/01/2015 3:30,1/01/2015,5393.31,27.52
1/01/2015 4:00,1/01/2015,5329.91,27.58
1/01/2015 4:30,1/01/2015,5341.62,25.43
1/01/2015 5:00,1/01/2015,5304.85,24.99
1/01/2015 5:30,1/01/2015,5257.01,23.31
1/01/2015 6:00,1/01/2015,5285.44,21.58
1/01/2015 6:30,1/01/2015,5365.88,23.31
1/01/2015 7:00,1/01/2015,5478.84,24.2
1/01/2015 7:30,1/01/2015,5629.67,26.44
1/01/2015 8:00,1/01/2015,5764.55,26.65
1/01/2015 8:30,1/01/2015,5937.4,28.2
1/01/2015 9:00,1/01/2015,6042.13,30.38
1/01/2015 9:30,1/01/2015,6148.56,31.68
1/01/2015 10:00,1/01/2015,6260.04,33.42
1/01/2015 10:30,1/01/2015,6323.59,35.8
1/01/2015 11:00,1/01/2015,6425.48,42.41
1/01/2015 11:30,1/01/2015,6465.58,37.78
1/01/2015 12:00,1/01/2015,6471.27,38.64
1/01/2015 12:30,1/01/2015,6555.5,36.28
1/01/2015 13:00,1/01/2015,6638.53,39.51
1/01/2015 13:30,1/01/2015,6699.1,42.16
1/01/2015 14:00,1/01/2015,6768,87.28
1/01/2015 14:30,1/01/2015,6780.05,201.31
1/01/2015 15:00,1/01/2015,6845.2,180.73
1/01/2015 15:30,1/01/2015,6921.05,252.94
1/01/2015 16:00,1/01/2015,7073.98,286.36
1/01/2015 16:30,1/01/2015,7135.12,281.8
1/01/2015 17:00,1/01/2015,7203.26,287.03
1/01/2015 17:30,1/01/2015,7199.16,284.1
1/01/2015 18:00,1/01/2015,7188.55,128.15
1/01/2015 18:30,1/01/2015,7149.07,90.3
1/01/2015 19:00,1/01/2015,7186.98,52.06
1/01/2015 19:30,1/01/2015,7237.55,64.23
1/01/2015 20:00,1/01/2015,7275.09,161.12
1/01/2015 20:30,1/01/2015,7156.44,59.21
1/01/2015 21:00,1/01/2015,6915.81,32.4
1/01/2015 21:30,1/01/2015,6785.01,39.88
1/01/2015 22:00,1/01/2015,6634.49,38.99
1/01/2015 22:30,1/01/2015,6504.87,38.96
1/01/2015 23:00,1/01/2015,6283.46,37.1
1/01/2015 23:30,1/01/2015,6152.58,38.03
2/01/2015 0:00,2/01/2015,5951.04,35.05
2/01/2015 0:30,2/01/2015,5773.08,36.93
2/01/2015 1:00,2/01/2015,5613.66,34.98
2/01/2015 1:30,2/01/2015,5469.95,30
2/01/2015 2:00,2/01/2015,5341.7,29.63
2/01/2015 2:30,2/01/2015,5279.48,26.67
2/01/2015 3:00,2/01/2015,5284.09,31.31
2/01/2015 3:30,2/01/2015,5247.36,35.75
2/01/2015 4:00,2/01/2015,5226.39,32.9
2/01/2015 4:30,2/01/2015,5281.77,29.78
2/01/2015 5:00,2/01/2015,5299.36,25.71
2/01/2015 5:30,2/01/2015,5327.24,26.3
2/01/2015 6:00,2/01/2015,5380.39,27.02
2/01/2015 6:30,2/01/2015,5584.14,33.3
2/01/2015 7:00,2/01/2015,5794.75,34.82
2/01/2015 7:30,2/01/2015,6036.12,36.03
2/01/2015 8:00,2/01/2015,6170.81,37.99
2/01/2015 8:30,2/01/2015,6354.65,120.4
2/01/2015 9:00,2/01/2015,6502.62,44.74
2/01/2015 9:30,2/01/2015,6558.09,49.37
2/01/2015 10:00,2/01/2015,6597.75,172.21
2/01/2015 10:30,2/01/2015,6659.97,271.25
2/01/2015 11:00,2/01/2015,6667.24,253.42
2/01/2015 11:30,2/01/2015,6664.2,138.33
2/01/2015 12:00,2/01/2015,6705.33,211.16
2/01/2015 12:30,2/01/2015,6686.96,278.65
2/01/2015 13:00,2/01/2015,6771.48,285.06
2/01/2015 13:30,2/01/2015,6856.8,283.55
2/01/2015 14:00,2/01/2015,6898.66,283.99
2/01/2015 14:30,2/01/2015,7038.27,283.24
2/01/2015 15:00,2/01/2015,7087.51,283.79
2/01/2015 15:30,2/01/2015,7057.15,126.29
2/01/2015 16:00,2/01/2015,7066.72,144.12
2/01/2015 16:30,2/01/2015,7169.6,170.99
2/01/2015 17:00,2/01/2015,7204.49,158.23
2/01/2015 17:30,2/01/2015,7273.14,66.21
2/01/2015 18:00,2/01/2015,7148.46,53.47
2/01/2015 18:30,2/01/2015,7026.22,53.9
2/01/2015 19:00,2/01/2015,7105.85,51.91
2/01/2015 19:30,2/01/2015,7183.71,83.12
2/01/2015 20:00,2/01/2015,7159.67,45.95
2/01/2015 20:30,2/01/2015,7037.59,53.17
2/01/2015 21:00,2/01/2015,6869.47,53.62
2/01/2015 21:30,2/01/2015,6757.29,50.01
2/01/2015 22:00,2/01/2015,6572.76,35.89
2/01/2015 22:30,2/01/2015,6412.54,41.86
2/01/2015 23:00,2/01/2015,6267.36,49.75
2/01/2015 23:30,2/01/2015,6110.91,48.87
3/01/2015 0:00,3/01/2015,5919.43,40.92
3/01/2015 0:30,3/01/2015,5686.87,41.73
3/01/2015 1:00,3/01/2015,5530.8,37.05
3/01/2015 1:30,3/01/2015,5390.71,33.52
3/01/2015 2:00,3/01/2015,5249.73,32.3
3/01/2015 2:30,3/01/2015,5181.53,29.08
3/01/2015 3:00,3/01/2015,5150.21,28.11
3/01/2015 3:30,3/01/2015,5127.4,30.93
3/01/2015 4:00,3/01/2015,5139.02,25.23
3/01/2015 4:30,3/01/2015,5169.27,27.57
3/01/2015 5:00,3/01/2015,5162.69,28.09
3/01/2015 5:30,3/01/2015,5179.07,21.57
3/01/2015 6:00,3/01/2015,5202.38,24.51
3/01/2015 6:30,3/01/2015,5299.83,26.87
3/01/2015 7:00,3/01/2015,5424.16,27.44
3/01/2015 7:30,3/01/2015,5636.03,30.3
3/01/2015 8:00,3/01/2015,5744.15,33.19
3/01/2015 8:30,3/01/2015,5900.12,37.51
3/01/2015 9:00,3/01/2015,6046.88,44.21
3/01/2015 9:30,3/01/2015,6129.66,41.95
3/01/2015 10:00,3/01/2015,6155.37,39.16
3/01/2015 10:30,3/01/2015,6177.28,42.93
3/01/2015 11:00,3/01/2015,6172.79,41.41
3/01/2015 11:30,3/01/2015,6135.89,37.54
3/01/2015 12:00,3/01/2015,6170.18,37.73
3/01/2015 12:30,3/01/2015,6119.05,34.82
3/01/2015 13:00,3/01/2015,6133.01,36.83
3/01/2015 13:30,3/01/2015,6176.35,37.55
3/01/2015 14:00,3/01/2015,6209.8,37.89
3/01/2015 14:30,3/01/2015,6249.04,39.02
3/01/2015 15:00,3/01/2015,6252.93,39.34
3/01/2015 15:30,3/01/2015,6279.75,40.7
3/01/2015 16:00,3/01/2015,6383.11,43.59
3/01/2015 16:30,3/01/2015,6463.55,39.48
3/01/2015 17:00,3/01/2015,6537.29,81.06
3/01/2015 17:30,3/01/2015,6567.84,37.19
3/01/2015 18:00,3/01/2015,6547.15,36.93
3/01/2015 18:30,3/01/2015,6512.24,33.29
3/01/2015 19:00,3/01/2015,6619.63,40.26
3/01/2015 19:30,3/01/2015,6686.68,40.5
3/01/2015 20:00,3/01/2015,6691.03,43.26
3/01/2015 20:30,3/01/2015,6604.95,49.94
3/01/2015 21:00,3/01/2015,6443.13,41.43
3/01/2015 21:30,3/01/2015,6347.46,37.5
3/01/2015 22:00,3/01/2015,6203.26,33.9
3/01/2015 22:30,3/01/2015,6118.89,36.32
3/01/2015 23:00,3/01/2015,5969.12,31.29
3/01/2015 23:30,3/01/2015,5836.7,31.05
4/01/2015 0:00,4/01/2015,5628.75,28.68
4/01/2015 0:30,4/01/2015,5483.9,28.76
4/01/2015 1:00,4/01/2015,5314.23,26.64
4/01/2015 1:30,4/01/2015,5147.54,23.17
4/01/2015 2:00,4/01/2015,5055.81,23.91
4/01/2015 2:30,4/01/2015,5026.72,21
4/01/2015 3:00,4/01/2015,4949.9,20.48
4/01/2015 3:30,4/01/2015,4918.05,18.99
4/01/2015 4:00,4/01/2015,4906.37,18.94
4/01/2015 4:30,4/01/2015,4971.91,20.16
4/01/2015 5:00,4/01/2015,4977.7,18.16
4/01/2015 5:30,4/01/2015,4946.8,17.9
4/01/2015 6:00,4/01/2015,4949.59,17.81
4/01/2015 6:30,4/01/2015,4988.25,18.39
4/01/2015 7:00,4/01/2015,5094.63,21.21
4/01/2015 7:30,4/01/2015,5229.3,23.4
4/01/2015 8:00,4/01/2015,5323.49,23.7
4/01/2015 8:30,4/01/2015,5431.94,26.27
