Index,Date,Time,TimeOfDay,Demand,Price
100,13/01/2000,11:30,Midday,4588.011733,25.8125
101,13/01/2000,14:30,Afternoon,4607.763383,25.9639
102,13/01/2000,17:30,Evening,4627.34265,26.113
103,13/01/2000,20:30,Night,4640.82035,26.2637
104,13/01/2000,23:30,Midnight,4647.417317,26.4098
105,14/01/2000,2:30,Midnight,4643.340083,26.3998
106,14/01/2000,5:30,Early Morning,4638.365717,26.3665
107,14/01/2000,8:30,Morning,4646.8213,26.4696
108,14/01/2000,11:30,Midday,4658.210367,26.5726
109,14/01/2000,14:30,Afternoon,4676.87775,26.7137
110,14/01/2000,17:30,Evening,4696.346867,26.8794
111,14/01/2000,20:30,Night,4705.218433,26.9782
112,14/01/2000,23:30,Midnight,4710.154883,27.127
113,15/01/2000,2:30,Midnight,4703.94215,27.1217
114,15/01/2000,5:30,Early Morning,4695.828967,27.0739
115,15/01/2000,8:30,Morning,4696.445,27.1216
116,15/01/2000,11:30,Midday,4700.607483,27.1372
117,15/01/2000,14:30,Afternoon,4713.02935,27.2646
118,15/01/2000,17:30,Evening,4726.08195,27.4047
119,15/01/2000,20:30,Night,4731.137817,27.5538
120,15/01/2000,23:30,Midnight,4732.089017,27.6353
121,16/01/2000,2:30,Midnight,4723.33975,27.5973
122,16/01/2000,5:30,Early Morning,4711.52245,27.5203
123,16/01/2000,8:30,Morning,4707.11375,27.4364
124,16/01/2000,11:30,Midday,4706.61085,27.324
125,16/01/2000,14:30,Afternoon,4715.4747,27.3467
126,16/01/2000,17:30,Evening,4725.004083,27.3423
127,16/01/2000,20:30,Night,4722.743667,27.2591
128,16/01/2000,23:30,Midnight,4715.7568,27.1662
129,17/01/2000,2:30,Midnight,4698.92265,27.0008
130,17/01/2000,5:30,Early Morning,4684.053484,26.8811
131,17/01/2000,8:30,Morning,4688.1694,26.9811
132,17/01/2000,11:30,Midday,4696.724917,26.9946
133,17/01/2000,14:30,Afternoon,4717.771217,27.2175
134,17/01/2000,17:30,Evening,4737.2249,27.4192
135,17/01/2000,20:30,Night,4736.899867,27.3695
136,17/01/2000,23:30,Midnight,4730.176084,27.2427
137,18/01/2000,2:30,Midnight,4712.265867,26.9968
138,18/01/2000,5:30,Early Morning,4696.187184,26.8218
139,18/01/2000,8:30,Morning,4699.90805,26.9177
140,18/01/2000,11:30,Midday,4708.56465,27.1772
141,18/01/2000,14:30,Afternoon,4728.528534,27.4591
142,18/01/2000,17:30,Evening,4746.8933,27.9613
143,18/01/2000,20:30,Night,4747.475933,27.9762
144,18/01/2000,23:30,Midnight,4744.21725,28.0322
145,19/01/2000,2:30,Midnight,4729.637483,27.9053
146,19/01/2000,5:30,Early Morning,4716.525033,27.8039
147,19/01/2000,8:30,Morning,4721.29,28.0654
148,19/01/2000,11:30,Midday,4731.55145,28.0714374
149,19/01/2000,14:30,Afternoon,4754.8547,28.1803734
150,19/01/2000,17:30,Evening,4776.931383,28.8379734
151,19/01/2000,20:30,Night,4780.446933,28.9470734
152,19/01/2000,23:30,Midnight,4773.855983,28.8944734
153,20/01/2000,2:30,Midnight,4762.91705,28.7622734
154,20/01/2000,5:30,Early Morning,4750.98225,28.6329734
155,20/01/2000,8:30,Morning,4758.941883,28.9494734
156,20/01/2000,11:30,Midday,4771.807833,28.9264006
157,20/01/2000,14:30,Afternoon,4798.408233,29.0748849
158,20/01/2000,17:30,Evening,4824.707217,29.2834719
159,20/01/2000,20:30,Night,4837.992233,29.9681719
160,20/01/2000,23:30,Midnight,4843.819433,30.0551849
161,21/01/2000,2:30,Midnight,4838.0526,30.0389849
162,21/01/2000,5:30,Early Morning,4833.080717,30.0565849
163,21/01/2000,8:30,Morning,4845.282283,30.2312874
164,21/01/2000,11:30,Midday,4861.793,30.5005589
165,21/01/2000,14:30,Afternoon,4888.8456,30.9262063
166,21/01/2000,17:30,Evening,4914.308883,31.1805063
167,21/01/2000,20:30,Night,4928.721317,31.6910063
168,21/01/2000,23:30,Midnight,4935.775517,32.1828063
169,22/01/2000,2:30,Midnight,4933.332783,32.6500063
170,22/01/2000,5:30,Early Morning,4932.06595,33.1114063
171,22/01/2000,8:30,Morning,4935.789783,33.5367034
172,22/01/2000,11:30,Midday,4945.474866,34.0572766
173,22/01/2000,14:30,Afternoon,4963.628066,34.7219281
174,22/01/2000,17:30,Evening,4978.3848,35.4407472
175,22/01/2000,20:30,Night,4977.552883,35.9253472
176,22/01/2000,23:30,Midnight,4972.225516,36.5301997
177,23/01/2000,2:30,Midnight,4957.180683,36.7861997
178,23/01/2000,5:30,Early Morning,4942.4495,36.7186997
179,23/01/2000,8:30,Morning,4937.093,36.7832997
180,23/01/2000,11:30,Midday,4938.181333,37.4497382
181,23/01/2000,14:30,Afternoon,4951.28335,38.2024425
182,23/01/2000,17:30,Evening,4963.095833,38.5361425
183,23/01/2000,20:30,Night,4962.002533,38.8640425
184,23/01/2000,23:30,Midnight,4956.77675,39.4806151
185,24/01/2000,2:30,Midnight,4943.035633,39.3888151
186,24/01/2000,5:30,Early Morning,4931.1617,39.2959151
187,24/01/2000,8:30,Morning,4935.845783,39.9619151
188,24/01/2000,11:30,Midday,4944.415566,40.3118151
189,24/01/2000,14:30,Afternoon,4963.13535,40.5105151
190,24/01/2000,17:30,Evening,4980.817633,41.2783973
191,24/01/2000,20:30,Night,4980.151516,41.4704973
192,24/01/2000,23:30,Midnight,4976.848283,42.0984116
193,25/01/2000,2:30,Midnight,4962.0512,42.0101116
194,25/01/2000,5:30,Early Morning,4949.265066,41.9160116
195,25/01/2000,8:30,Morning,4953.914283,42.6085287
196,25/01/2000,11:30,Midday,4961.825633,43.221132
197,25/01/2000,14:30,Afternoon,4980.4987,43.915732
198,25/01/2000,17:30,Evening,4997.59005,44.526932
199,25/01/2000,20:30,Night,4996.003416,44.667932
200,25/01/2000,23:30,Midnight,4992.054183,44.692132
201,26/01/2000,2:30,Midnight,4976.864683,44.540732
202,26/01/2000,5:30,Early Morning,4961.9996,44.391632
203,26/01/2000,8:30,Morning,4956.47465,44.262032
204,26/01/2000,11:30,Midday,4956.285483,44.189632
205,26/01/2000,14:30,Afternoon,4966.620816,44.260632
206,26/01/2000,17:30,Evening,4976.812066,44.373032
207,26/01/2000,20:30,Night,4974.173116,44.377732
208,26/01/2000,23:30,Midnight,4966.924066,44.264132
209,27/01/2000,2:30,Midnight,4952.555983,44.164432
210,27/01/2000,5:30,Early Morning,4939.260133,44.074032
211,27/01/2000,8:30,Morning,4944.682966,44.224532
212,27/01/2000,11:30,Midday,4953.29565,44.392632
213,27/01/2000,14:30,Afternoon,4975.49045,45.152232
214,27/01/2000,17:30,Evening,4997.2945,45.771732
215,27/01/2000,20:30,Night,5007.1119,46.163632
216,27/01/2000,23:30,Midnight,5009.875066,46.232832
217,28/01/2000,2:30,Midnight,5002.641366,46.072332
218,28/01/2000,5:30,Early Morning,4995.627816,45.921632
219,28/01/2000,8:30,Morning,5002.1788,45.933932
220,28/01/2000,11:30,Midday,5012.000483,45.972332
221,28/01/2000,14:30,Afternoon,5032.917266,46.256932
222,28/01/2000,17:30,Evening,5053.306816,46.494332
223,28/01/2000,20:30,Night,5061.288116,46.554432
224,28/01/2000,23:30,Midnight,5064.798283,46.659332
225,29/01/2000,2:30,Midnight,5058.013766,46.626632
226,29/01/2000,5:30,Early Morning,5049.382466,46.583232
227,29/01/2000,8:30,Morning,5048.20035,46.544932
228,29/01/2000,11:30,Midday,5052.358783,46.636232
229,29/01/2000,14:30,Afternoon,5064.4502,46.706232
230,29/01/2000,17:30,Evening,5075.641166,46.811732
231,29/01/2000,20:30,Night,5070.235483,46.751532
232,29/01/2000,23:30,Midnight,5060.8788,47.027332
233,30/01/2000,2:30,Midnight,5039.640516,46.827432
234,30/01/2000,5:30,Early Morning,5018.63975,46.621032
235,30/01/2000,8:30,Morning,5009.752517,46.560132
236,30/01/2000,11:30,Midday,5007.1272,46.621032
237,30/01/2000,14:30,Afternoon,5014.86685,46.747232
238,30/01/2000,17:30,Evening,5022.91305,46.929132
239,30/01/2000,20:30,Night,5016.974183,47.111832
240,30/01/2000,23:30,Midnight,5006.751367,46.860132
241,31/01/2000,2:30,Midnight,4987.21435,46.590932
242,31/01/2000,5:30,Early Morning,4969.310833,46.077732
243,31/01/2000,8:30,Morning,4971.375433,46.570277
244,31/01/2000,11:30,Midday,4977.364867,46.743577
245,31/01/2000,14:30,Afternoon,4994.269317,46.934277
246,31/01/2000,17:30,Evening,5010.553533,47.059577
247,31/01/2000,20:30,Night,5007.754967,46.863577
248,31/01/2000,23:30,Midnight,4998.916917,46.8896396
249,1/02/2000,2:30,Midnight,4976.664467,46.8472036
250,1/02/2000,5:30,Early Morning,4957.388117,46.2518036
251,1/02/2000,8:30,Morning,4957.93535,46.6693288
252,1/02/2000,11:30,Midday,4966.419467,47.2051434
253,1/02/2000,14:30,Afternoon,4981.6045,47.7025434
254,1/02/2000,17:30,Evening,4997.747233,48.0414434
255,1/02/2000,20:30,Night,4994.2427,47.8355434
256,1/02/2000,23:30,Midnight,4984.454317,47.8643162
257,2/02/2000,2:30,Midnight,4960.688467,47.6743319
258,2/02/2000,5:30,Early Morning,4939.480067,47.5074449
259,2/02/2000,8:30,Morning,4936.0479,47.4134055
260,2/02/2000,11:30,Midday,4937.788767,47.5914925
261,2/02/2000,14:30,Afternoon,4951.237583,47.7051925
262,2/02/2000,17:30,Evening,4964.3429,47.9039925
263,2/02/2000,20:30,Night,4957.78255,47.81729
264,2/02/2000,23:30,Midnight,4945.580283,47.6414185
265,3/02/2000,2:30,Midnight,4922.13675,47.2047711
266,3/02/2000,5:30,Early Morning,4902.586867,46.9587711
267,3/02/2000,8:30,Morning,4902.0228,46.8696711
268,3/02/2000,11:30,Midday,4906.7287,46.982549
269,3/02/2000,14:30,Afternoon,4921.98355,47.1233884
270,3/02/2000,17:30,Evening,4934.29785,47.0337884
271,3/02/2000,20:30,Night,4936.9168,46.7652913
272,3/02/2000,23:30,Midnight,4932.270467,46.6340181
273,4/02/2000,2:30,Midnight,4918.022617,45.9948666
274,4/02/2000,5:30,Early Morning,4906.421883,45.2967475
275,4/02/2000,8:30,Morning,4910.395883,45.2767172
276,4/02/2000,11:30,Midday,4918.022367,45.1504457
277,4/02/2000,14:30,Afternoon,4933.6779,45.0058457
278,4/02/2000,17:30,Evening,4949.6529,45.3985457
279,4/02/2000,20:30,Night,4955.377667,45.3683457
280,4/02/2000,23:30,Midnight,4956.2716,45.2535882
281,5/02/2000,2:30,Midnight,4943.589983,44.5151839
282,5/02/2000,5:30,Early Morning,4931.599333,44.1441839
283,5/02/2000,8:30,Morning,4927.709283,44.1505839
284,5/02/2000,11:30,Midday,4928.9545,43.5965113
285,5/02/2000,14:30,Afternoon,4937.545883,43.6975113
286,5/02/2000,17:30,Evening,4945.0391,43.7942113
287,5/02/2000,20:30,Night,4938.502667,43.2447113
288,5/02/2000,23:30,Midnight,4929.176833,42.9093113
289,6/02/2000,2:30,Midnight,4909.600683,42.7251113
290,6/02/2000,5:30,Early Morning,4889.775017,41.9524291
291,6/02/2000,8:30,Morning,4880.549767,41.6422291
292,6/02/2000,11:30,Midday,4876.378767,40.9265148
293,6/02/2000,14:30,Afternoon,4882.7646,40.8997148
294,6/02/2000,17:30,Evening,4889.694217,40.8967148
295,6/02/2000,20:30,Night,4884.087067,40.3155977
296,6/02/2000,23:30,Midnight,4875.462267,39.6693944
297,7/02/2000,2:30,Midnight,4857.1954,38.9839944
298,7/02/2000,5:30,Early Morning,4842.270267,38.3861944
299,7/02/2000,8:30,Morning,4846.673983,38.3577944
300,7/02/2000,11:30,Midday,4853.97115,38.4321944
301,7/02/2000,14:30,Afternoon,4873.1887,38.6570944
302,7/02/2000,17:30,Evening,4891.67325,38.8530944
303,7/02/2000,20:30,Night,4897.338384,38.8867944
304,7/02/2000,23:30,Midnight,4898.033017,38.8756944
305,8/02/2000,2:30,Midnight,4888.084234,38.7764944
306,8/02/2000,5:30,Early Morning,4878.811117,38.6982944
307,8/02/2000,8:30,Morning,4883.3636,38.7064944
308,8/02/2000,11:30,Midday,4891.450817,38.8049944
309,8/02/2000,14:30,Afternoon,4909.9636,39.1144944
310,8/02/2000,17:30,Evening,4926.555734,39.2473944
311,8/02/2000,20:30,Night,4924.34025,39.0683944
312,8/02/2000,23:30,Midnight,4917.238217,38.8103944
313,9/02/2000,2:30,Midnight,4896.870267,38.0678944
314,9/02/2000,5:30,Early Morning,4878.583384,37.4946944
315,9/02/2000,8:30,Morning,4877.1379,37.1285944
316,9/02/2000,11:30,Midday,4880.636884,36.9699944
317,9/02/2000,14:30,Afternoon,4896.7252,37.0815944
318,9/02/2000,17:30,Evening,4912.00995,37.1807944
319,9/02/2000,20:30,Night,4910.035134,37.0738944
320,9/02/2000,23:30,Midnight,4903.442184,36.9572944
321,10/02/2000,2:30,Midnight,4885.147767,36.6576944
322,10/02/2000,5:30,Early Morning,4869.54695,36.4871944
323,10/02/2000,8:30,Morning,4873.929434,36.5847944
324,10/02/2000,11:30,Midday,4881.126117,36.6466944
325,10/02/2000,14:30,Afternoon,4899.747217,36.7834944
326,10/02/2000,17:30,Evening,4917.9736,36.8591944
327,10/02/2000,20:30,Night,4924.3594,36.8774944
