Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
04/06/2018 16:30,94.24,9226.04,8719.46,130.62,-323.08,Actual
04/06/2018 17:00,131.54,9721.09,8941.65,76.45,-669.1,Actual
04/06/2018 17:30,140.75,10361.76,9505.52,68.44,-759.28,Actual
04/06/2018 18:00,289.9,10786.9,9604.87,84.82,-1076.95,Actual
04/06/2018 18:30,238.39,10786.7,9677.06,71.3,-1013.52,Actual
04/06/2018 19:00,139.64,10647.31,9645.77,50.51,-925.83,Actual
04/06/2018 19:30,105.9,10330.97,9521.57,55.32,-713.79,Actual
04/06/2018 20:00,106.53,10084,9124.78,104.54,-806.34,Actual
04/06/2018 20:30,109.76,9894.05,8869.29,152.39,-817.96,Actual
04/06/2018 21:00,98.17,9574.61,8547.51,203.87,-795.89,Actual
04/06/2018 21:30,94.08,9237.88,8456.5,236.36,-521.97,Actual
04/06/2018 22:00,82.37,8935.32,8359.5,242.43,-300.57,Actual
04/06/2018 22:30,137.81,8818.93,7891.3,262.57,-645.16,Actual
04/06/2018 23:00,95.76,8438.85,7529.33,281.9,-618.53,Actual
04/06/2018 23:30,94.32,8347.98,7491.89,285.11,-546.17,Actual
05/06/2018 00:00,90.5,8253.87,7493.17,264.54,-447.45,Actual
05/06/2018 00:30,78.51,8076.25,7423.92,238.8,-348.71,Actual
05/06/2018 01:00,74.89,7868.83,7282.65,255.83,-258.6,Actual
05/06/2018 01:30,75,7707.13,7104.9,255.21,-275.11,Actual
05/06/2018 02:00,78.61,7502.74,6817.72,234.68,-372.7,Actual
05/06/2018 02:30,79.5,7182.91,6329.88,224.39,-555.38,Actual
05/06/2018 03:00,70.27,6893.45,6044.61,210.69,-592.08,Actual
05/06/2018 03:30,66.64,6760.24,5869.53,199.44,-653.98,Actual
05/06/2018 04:00,58.84,6629.25,5799.98,192.38,-611.38,Actual
05/06/2018 04:30,59.67,6659.08,5923.22,214.54,-502.44,Actual
05/06/2018 05:00,61.3,6779.24,6220.39,201.74,-347.53,Actual
05/06/2018 05:30,73.06,7168.4,6754.19,196.58,-196.28,Actual
05/06/2018 06:00,91.55,7573.65,7121.05,183.87,-244.97,Actual
05/06/2018 06:30,98.02,8313.89,7768.45,185.24,-332.35,Actual
05/06/2018 07:00,159.91,9027.43,8328.12,188.16,-480.18,Actual
05/06/2018 07:30,116.06,9465.21,8986.27,190.26,-243.49,Actual
05/06/2018 08:00,111.87,9737.77,9317.82,239.72,-92.61,Actual
05/06/2018 08:30,109.24,9640.41,8781.28,300.65,-490.24,Actual
05/06/2018 09:00,95.95,9449.35,8660.97,308.72,-414.81,Actual
05/06/2018 09:30,94.46,9420.08,8566.19,307.18,-462.68,Actual
05/06/2018 10:00,84.55,9308.57,8242.92,295.99,-693.67,Actual
05/06/2018 10:30,84.93,9237.74,8064.4,313.3,-784.27,Actual
05/06/2018 11:00,79.04,9104.18,7836.85,303.73,-891.53,Actual
05/06/2018 11:30,77.32,8943.36,7801.14,285.65,-792.74,Actual
05/06/2018 12:00,72.68,8845.67,7772.38,300.43,-717.64,Actual
05/06/2018 12:30,81.06,8783.85,7781.67,291.76,-678.85,Actual
05/06/2018 13:00,92.98,8713.89,7589,307.19,-800.46,Actual
05/06/2018 13:30,90.44,8746.92,7494.68,317.65,-915.84,Actual
05/06/2018 14:00,92.27,8843.9,7534.24,292.1,-995.07,Actual
05/06/2018 14:30,97.9,8908.19,7472.71,318.71,-1094.52,Actual
05/06/2018 15:00,96.51,8923.47,8023.28,321.9,-563.79,Actual
05/06/2018 15:30,139.18,8929.2,8022.68,301.91,-589.31,Actual
05/06/2018 16:00,184.12,9350.59,8242.3,257.2,-827.68,Actual
05/06/2018 16:30,103.53341,9535.52,8640.7736,227.1364,-604.9,Forecast
05/06/2018 17:00,94.88956,9921.97,8979.9986,184.4614,-723.52,Forecast
05/06/2018 17:30,114.73493,10595.5,9260.9996,182.1704,-1109.65,Forecast
05/06/2018 18:00,299.6,11082.8,9236.6346,174.5754,-1622.2,Forecast
05/06/2018 18:30,301.45051,11109.78,9256.0016,179.5884,-1625.52,Forecast
05/06/2018 19:00,186.50554,10996.98,9279.9976,187.8224,-1491.3,Forecast
05/06/2018 19:30,113.46477,10752.56,9350.9976,193.9924,-1181.34,Forecast
05/06/2018 20:00,146.71513,10527.13,8853.9996,200.5304,-1445.16,Forecast
05/06/2018 20:30,105.14028,10296.24,8854.0016,207.3984,-1220.49,Forecast
05/06/2018 21:00,128.06101,10037.47,8703.9966,217.0934,-1106.49,Forecast
05/06/2018 21:30,101.71095,9712.25,8799.9966,224.2034,-689.58,Forecast
05/06/2018 22:00,86.83085,9370.19,8736.4326,233.2874,-403.03,Forecast
05/06/2018 22:30,125.47626,9189.64,8194.9996,238.6204,-753.33,Forecast
05/06/2018 23:00,107.88275,8858.62,7678.9956,244.1344,-923.53,Forecast
05/06/2018 23:30,97.1102,8649.19,7442.9916,250.1684,-947.46,Forecast
06/06/2018 00:00,91.09932,8493.91,7375.4396,252.5104,-859.29,Forecast
06/06/2018 00:30,93.06854,8322.63,7301.5296,255.8504,-754.72,Forecast
06/06/2018 01:00,90.32012,8136.2,7232.5256,255.1744,-632.93,Forecast
06/06/2018 01:30,71.04971,7909.67,7051.7916,260.9084,-583.33,Forecast
06/06/2018 02:00,88.25071,7684.53,6420.9976,265.9324,-969.21,Forecast
06/06/2018 02:30,73.3183,7325.75,5933.0016,269.1984,-1097.22,Forecast
06/06/2018 03:00,62.51,7028.15,5740.1156,277.6144,-993.93,Forecast
06/06/2018 03:30,61.46,6840.75,5444.3656,281.3344,-1093.01,Forecast
06/06/2018 04:00,61.46,6725.38,5281.3666,287.4434,-1131.47,Forecast
06/06/2018 04:30,57.9998,6739.76,5245.3246,284.6854,-1183.28,Forecast
06/06/2018 05:00,59.25513,6863.2,5166.3686,281.2214,-1377.5,Forecast
06/06/2018 05:30,52.8,7167.9,5707.2996,276.3704,-1162.11,Forecast
06/06/2018 06:00,61.46036,7558.93,6290.6966,284.7734,-970.39,Forecast
06/06/2018 06:30,65.76183,8235.38,7202.9976,280.1824,-746.59,Forecast
06/06/2018 07:00,104.32518,8915.22,7420.9966,276.9634,-1201.44,Forecast
06/06/2018 07:30,115.9431,9312.77,7924.9996,288.3304,-1087.24,Forecast
06/06/2018 08:00,116.00839,9588.74,7995.0026,338.9174,-1233.8,Forecast
06/06/2018 08:30,105.01,9562.45,7941.7636,401.8664,-1182.89,Forecast
06/06/2018 09:00,105.01,9349.53,7485.8386,444.9214,-1361.7,Forecast
06/06/2018 09:30,102.91974,9211.06,7251.0026,478.3074,-1417.21,Forecast
06/06/2018 10:00,96.18857,9068.38,7250.6676,501.9224,-1246.32,Forecast
06/06/2018 10:30,88.67362,8963.79,7249.0016,511.7484,-1128.81,Forecast
06/06/2018 11:00,81.79373,8845.24,7085.7146,517.5254,-1177.3,Forecast
06/06/2018 11:30,78.45036,8741.58,7071.8656,521.3944,-1085.95,Forecast
06/06/2018 12:00,71.15691,8642.5,7094.9986,516.3914,-982.38,Forecast
06/06/2018 12:30,70.03301,8586.18,7105.0046,508.3154,-934.03,Forecast
06/06/2018 13:00,68.61972,8553.93,7174.9966,503.7434,-843.54,Forecast
06/06/2018 13:30,70.99958,8567.23,7312.9556,485.8044,-712.84,Forecast
06/06/2018 14:00,70.9441,8549.07,7366.0046,463.8654,-671.98,Forecast
06/06/2018 14:30,74.46036,8569.44,7442.9836,434.2964,-649.14,Forecast
06/06/2018 15:00,74.14817,8620.62,7557.9956,399.6144,-624.8,Forecast
06/06/2018 15:30,72.22167,8702.15,7816.9966,360.0734,-498.2,Forecast
06/06/2018 16:00,78.61764,8936.66,7921.8096,317.6104,-667.47,Forecast
06/06/2018 16:30,94.38117,9178.97,7985.0006,285.3594,-894.87,Forecast
06/06/2018 17:00,99.10603,9611.63,8320.9986,244.0514,-1028.56,Forecast
06/06/2018 17:30,105.01,10236.18,8569.5226,243.4074,-1383.32,Forecast
06/06/2018 18:00,120.06801,10655.44,8844.9996,241.1204,-1537.63,Forecast
06/06/2018 18:30,127.02783,10653.48,8870.0046,250.5854,-1505.23,Forecast
06/06/2018 19:00,108.38929,10542.48,8860.0036,258.1364,-1400.77,Forecast
06/06/2018 19:30,105.01,10295.37,8646.3996,264.7204,-1361.83,Forecast
06/06/2018 20:00,105.01,10068.62,8446.0216,266.5484,-1337.4,Forecast
06/06/2018 20:30,104.4446,9841.25,8364.4086,267.1414,-1197.57,Forecast
06/06/2018 21:00,94.66736,9597.14,8358.1576,269.6924,-963.34,Forecast
06/06/2018 21:30,91.76177,9323.68,8324.9986,272.8914,-719.66,Forecast
06/06/2018 22:00,68.81768,9022.79,8190.9976,275.5624,-552.52,Forecast
06/06/2018 22:30,67.52706,8903.25,7924.9976,281.2624,-695.42,Forecast
06/06/2018 23:00,61.46036,8615.55,7731.5486,288.1714,-591.94,Forecast
06/06/2018 23:30,61.46036,8443.55,7487.7046,295.1054,-657.2,Forecast
07/06/2018 00:00,61,8302.81,7229.7876,299.1724,-769.66,Forecast
07/06/2018 00:30,60.99,8149.66,6669.7756,304.5244,-1153.17,Forecast
07/06/2018 01:00,53.66461,7968.3,6270.9976,309.4224,-1347.35,Forecast
07/06/2018 01:30,58,7761.22,5825.2816,314.4984,-1558.32,Forecast
07/06/2018 02:00,58,7534.15,5418.8316,319.9784,-1712.32,Forecast
07/06/2018 02:30,52.57,7211.23,5002.4046,325.8954,-1785.25,Forecast
07/06/2018 03:00,52.57,6935.2,4840.9186,334.1814,-1662.7,Forecast
07/06/2018 03:30,48.01,6757.24,4655.9586,344.6714,-1657.27,Forecast
07/06/2018 04:00,48.01,6656.29,4548.2436,351.4864,-1655.99,Forecast
